"manifest_id","version","name","path","size","sha256_raw","sha256_lf_normalized","origin","local_relation","classification","remote_statement_evidence"
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260728203000","cover_institution_legal_representative_membership_fk","recovery://Coelo-recovery-20260827-153001-final-residue/mirror-before-reconcile/20260728203000_cover_institution_legal_representative_membership_fk.sql","278","f14e603ccbdcba05fbb7f1d9df53b536361b7b0e58693e0baba6e7e13427f8f9","3845485114f3a128750f2ba0bb92ad6291ced9d06c2021b33d9b626a93f11538","recovery","raw-identical","remote-version+head-present",
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260728203000","cover_institution_legal_representative_membership_fk","remote://supabase_migrations/schema_migrations/20260728203000",,,,"remote-ledger","raw-identical","remote-version+head-present",
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260729140915","unit_type_plan_foundation","packages/coelo_database/migrations/20260729140915_unit_type_plan_foundation.sql","4009","71673526884c563a3e44fc1f72ff99b33534f680ec1ac8681f82d58572c4519e","390dee27a422adc39c815b4e20b59c6d90d84e34d4b3787c7fca76bc58bb85bc","canonical","eol-equivalent","remote-version+head-present",
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260729140915","unit_type_plan_foundation","recovery://Coelo-recovery-20260827-153001-final-residue/mirror-before-reconcile/20260729140915_unit_type_plan_foundation.sql","3875","390dee27a422adc39c815b4e20b59c6d90d84e34d4b3787c7fca76bc58bb85bc","390dee27a422adc39c815b4e20b59c6d90d84e34d4b3787c7fca76bc58bb85bc","recovery","eol-equivalent","remote-version+head-present",
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260729140915","unit_type_plan_foundation","remote://supabase_migrations/schema_migrations/20260729140915",,,,"remote-ledger","eol-equivalent","remote-version+head-present",
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260729141839","superadmin_people_directory","packages/coelo_database/migrations/20260729141839_superadmin_people_directory.sql","102678","20cce28127774f1403280de351620b255590e60f4e842d2da22fd897f6fb85bf","78300af52e3ad4b5a39874338d34755a25a7534e4b6ac9889e4a283b33ba9e27","canonical",,"local-only-head",
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260729144440","profiles_permissions_governance","packages/coelo_database/migrations/20260729144440_profiles_permissions_governance.sql","39077","d0e87f73c841c338c7df7553f2c91e91f7287da481b70501e0f9334fadce385e","f96f2bdb0db39c0841a8cc9872606ec8cb65c6c3c4423e7663b500661be9db0f","canonical","eol-equivalent","remote-version+head-present",
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260729144440","profiles_permissions_governance","recovery://Coelo-recovery-20260827-153001-final-residue/mirror-before-reconcile/20260729144440_profiles_permissions_governance.sql","38435","f96f2bdb0db39c0841a8cc9872606ec8cb65c6c3c4423e7663b500661be9db0f","f96f2bdb0db39c0841a8cc9872606ec8cb65c6c3c4423e7663b500661be9db0f","recovery","eol-equivalent","remote-version+head-present",
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260729144440","profiles_permissions_governance","remote://supabase_migrations/schema_migrations/20260729144440",,,,"remote-ledger","eol-equivalent","remote-version+head-present",
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260729153000","superadmin_people_directory_policy_hardening","packages/coelo_database/migrations/20260729153000_superadmin_people_directory_policy_hardening.sql","6439","b938d5ac0399a7137dc764a48baaff32776c466c3c8259d0b170778b528c40cd","4216c568f7002a895966134a1eb2bae160c4c1c1925fb4f1ded155fe914a0574","canonical",,"local-only-head",
